Point ID,Activation,Points_0,Points_1,Points_2
0,17,53.781,40.196,233.48
1,17,53.955,39.983,233.47
2,17,53.782,40.2,233.87
3,17,53.951,39.989,233.87
4,17,54.322,39.541,234.66
5,17,54.33,39.551,234.96
6,16,55.934,37.954,231.61
7,16,56.151,37.77,231.44
8,16,55.967,37.984,231.29
9,16,55.488,38.311,232.32
10,16,55.679,38.108,232.29
11,16,55.302,38.519,232.28
12,16,55.469,38.28,232.71
13,16,55.41,38.206,234.29
14,16,55.593,37.993,234.29
15,16,55.764,37.777,234.68
16,16,55.403,38.202,234.68
17,17,54.679,39.079,234.69
18,17,54.504,39.306,234.69
19,15,52.662,41.884,229.92
20,15,52.621,41.842,230.3
21,15,52.847,41.674,229.88
22,15,52.807,41.628,230.27
23,15,52.438,42.061,230.3
24,15,52.351,41.987,233.48
25,15,52.569,41.757,233.9
26,15,52.203,42.223,233.86
27,15,52.381,41.998,233.87
28,14,51.025,43.837,232.28
29,14,50.886,44.076,232.28
30,14,51.027,43.846,232.68
31,14,50.867,44.125,232.72
32,16,54.701,39.11,235.45
33,16,54.529,39.354,235.5
34,16,54.724,39.132,235.75
35,16,54.589,39.355,235.9
36,17,57.887,37.099,240.96
37,16,55.479,39.483,239.05
38,16,55.305,39.757,239.1
39,16,55.551,39.53,239.34
40,16,55.749,39.342,239.52
41,16,55.823,39.421,239.88
42,16,55.431,39.779,239.49
43,16,55.193,39.995,239.24
44,16,55.672,39.66,239.92
45,16,55.617,39.596,239.65
46,17,57.111,38.319,241.35
47,17,56.999,38.56,241.5
48,16,55.829,39.841,240.68
49,16,55.664,40.123,240.74
50,16,55.892,39.903,240.96
51,16,55.785,40.153,241.11
52,16,56.174,39.345,240.71
53,16,56.008,39.61,240.74
54,16,56.234,39.449,241.06
55,16,56.416,39.216,241.13
56,17,57.752,37.348,241.11
57,17,57.948,37.163,241.27
58,15,52.341,42.754,236.12
59,15,52.226,43.01,236.26
60,15,52.05,43.316,236.31
61,15,52.27,43.095,236.56
62,16,54.214,40.971,238.29
63,16,54.052,41.242,238.32
64,15,52.682,43.095,237.77
65,15,53.028,42.607,237.88
66,15,53.078,42.694,238.17
67,15,53.254,42.513,238.34
68,15,53.202,42.429,238.05
69,15,52.856,42.914,237.94
70,14,51.091,45.502,237.34
71,14,51.43,45.003,237.46
72,14,51.481,45.095,237.76
73,14,51.19,45.211,237.13
74,16,54.269,41.08,238.65
75,16,54.333,41.143,238.94
76,15,53.935,41.545,238.54
77,15,54.106,41.369,238.7
78,15,53.824,41.802,238.68
79,15,53.998,41.624,238.85
80,15,54.17,41.734,239.52
81,15,54.23,41.844,239.86
82,15,54.008,42.005,239.54
83,15,53.897,42.304,239.75
84,13,51.081,46.697,239.37
85,13,51.246,46.513,239.54
86,13,51.481,46.289,239.85
87,13,51.337,46.568,239.89
88,13,51.545,46.353,240.13
89,14,52.289,45.916,241.36
90,14,52.468,45.738,241.53
91,14,52.19,46.175,241.49
92,16,54.611,40.571,238.69
93,15,54.628,42.202,241.47
94,15,54.457,42.516,241.54
95,18,59.054,36.278,242.24
96,18,58.864,36.541,242.3
97,18,59.14,36.336,242.53
98,18,59.014,36.576,242.67
99,18,58.943,36.947,243.11
100,18,59.045,37.064,243.44
101,18,59.143,37.144,243.71
102,18,59.254,36.856,243.5
103,17,60.221,36.255,244.18
104,17,60.098,36.516,244.33
105,17,60.328,36.357,244.46
106,17,57.181,38.381,241.65
107,16,56.224,40.198,242.27
108,16,56.287,40.295,242.56
109,17,57.42,40.172,244.66
110,17,57.832,37.844,242.27
111,17,58.026,37.623,242.33
112,17,57.655,38.12,242.34
113,17,57.912,37.907,242.55
114,17,57.75,39.747,244.7
115,17,57.483,40.3,244.95
116,17,57.859,39.861,245.05
117,17,57.963,39.573,244.85
118,17,57.62,40.02,244.83
119,16,58.629,39.426,245.88
120,16,58.824,39.218,245.94
121,16,58.739,39.156,245.68
122,14,52.367,45.999,241.67
123,16,55.686,41.345,242.71
124,16,55.819,41.391,243.07
125,16,55.465,41.881,242.97
126,16,55.65,41.707,243.14
127,16,56.053,40.509,242.34
128,15,54.687,42.298,241.76
129,15,54.587,42.549,241.9
130,16,55.87,41.868,243.84
131,16,55.96,41.936,244.12
132,16,56.563,40.546,243.51
133,16,56.664,40.654,243.85
134,16,56.44,40.83,243.63
135,16,56.165,41.752,244.31
136,16,55.707,42.162,243.89
137,15,57.93,41.138,247.36
138,15,57.812,41.375,247.51
139,15,57.641,41.636,247.55
140,15,57.585,41.59,247.27
141,15,55.405,43.765,245.49
142,15,55.25,44.035,245.53
143,15,55.152,44.334,245.74
144,15,55.459,43.88,245.78
145,15,55.644,43.709,245.95
146,14,58.201,41.805,250.31
147,14,58.371,41.583,250.35
148,14,58.247,41.843,250.69
149,14,58.42,41.61,250.71
150,14,55.482,45.481,248.67
151,14,55.645,45.231,248.75
152,14,55.34,45.756,248.72
153,14,55.21,46.015,248.76
154,14,55.528,45.528,248.97
155,13,56.855,44.438,252.71
156,13,57.034,44.248,253.11
157,13,56.729,44.723,252.97
158,13,56.87,44.528,253.13
159,18,61.939,32.344,232
160,18,61.92,32.332,232.31
161,18,62.153,32.148,232.26
162,18,62.154,32.109,232.65
163,20,68.682,28.343,232.32
164,20,68.665,28.321,232.7
165,20,68.407,28.463,232.28
166,20,68.117,28.554,232.68
167,21,70.69,27.561,240.66
168,21,70.995,27.432,240.69
169,21,71.289,27.309,240.69
170,21,70.703,27.564,240.97
171,18,63.103,33.511,244.54
172,18,62.954,33.768,244.7
173,18,62.842,33.665,244.4
174,18,65.489,33.48,247.77
175,18,65.336,33.688,247.93
176,18,65.745,33.36,247.92
177,20,67.722,29.395,243.51
178,20,67.821,29.439,243.87
179,20,67.584,29.612,243.94
180,20,67.532,29.555,243.67
181,18,65.571,33.575,248.07
182,18,62.153,34.563,244.7
183,18,62.26,34.67,244.98
184,18,62.406,34.418,244.84
185,17,61.49,36.301,246.17
186,17,61.227,36.432,245.93
187,17,61.099,36.706,246.16
188,17,61.339,36.545,246.32
189,18,63.872,35.492,249.47
190,18,62.946,36.181,249.12
191,18,63.019,36.242,249.51
192,18,63.657,35.685,249.51
193,18,62.813,36.442,249.54
194,18,62.766,36.397,249.28
195,18,63.912,35.552,249.76
196,18,63.499,35.906,249.77
197,18,64.724,34.776,249.36
198,18,64.965,34.649,249.51
199,18,64.786,34.836,249.67
200,17,61.777,37.399,249.52
201,16,61.987,37.21,249.56
202,16,61.579,37.6,249.56
203,17,61.836,37.451,249.89
204,19,64.673,35.494,251.87
205,19,64.935,35.313,251.93
206,19,64.711,35.527,252.17
207,19,64.932,35.397,252.33
208,11,46.942,53.767,236.68
209,11,47.104,53.5,236.95
210,11,47.06,53.795,236.99
211,11,47.228,53.327,237.15
212,10,47.254,55.738,238.37
213,10,47.205,56.115,238.38
214,9,46.954,56.959,237.9
215,9,47.052,56.954,238.29
216,9,46.9,57.339,237.92
217,9,46.979,57.363,238.28
218,10,47.424,55.357,238.68
219,10,47.356,55.762,238.68
220,10,47.831,55.76,239.86
221,10,47.76,56.165,239.86
222,10,47.927,55.903,240.13
223,10,47.892,56.202,240.16
224,10,47.845,56.568,240.19
225,9,47.709,58.963,240.69
226,9,47.555,58.921,240.45
227,9,47.52,59.195,240.47
228,13,48.601,48.219,231.46
229,13,48.605,48.168,231.85
230,13,48.464,48.457,231.47
231,13,48.294,48.696,231.9
232,13,49.027,47.434,232.27
233,13,49.171,47.183,232.27
234,13,49.031,47.43,232.67
235,13,48.883,47.676,232.26
236,13,48.275,48.689,232.29
237,13,48.115,48.96,232.29
238,13,48.264,48.687,232.68
239,13,48.104,48.954,232.68
240,13,48.109,48.959,233.47
241,13,48.286,48.707,233.86
242,13,48.125,48.969,233.87
243,13,48.307,48.725,234.24
244,13,49.516,47.938,236.93
245,13,49.407,48.2,237.08
246,13,49.461,48.293,237.37
247,13,49.685,47.758,237.1
248,13,50.297,47.109,237.76
249,13,50.466,46.921,237.94
250,13,50.368,47.174,238.06
251,13,50.983,46.95,239.51
252,13,51.069,47.485,240.58
253,13,50.981,47.753,240.71
254,13,50.821,48.09,240.75
255,13,50.762,47.991,240.47
256,11,48.278,51.818,238.58
257,11,48.206,52.167,238.68
258,11,48.424,51.729,238.83
259,11,48.354,51.996,238.89
